------ITER 1------
EPOCH ::: 1
Training Net (8/17) Data: 0.003s | Batch: 1.386s | Total: 0:00:11 | ETA: 0:00:14 | Loss_pi: 5.7730 | Loss_v: 128.039
Training Net (9/17) Data: 0.003s | Batch: 1.381s | Total: 0:00:12 | ETA: 0:00:13 | Loss_pi: 5.7664 | Loss_v: 127.912
Training Net (10/17) Data: 0.003s | Batch: 1.386s | Total: 0:00:13 | ETA: 0:00:12 | Loss_pi: 5.7608 | Loss_v: 127.888
Training Net (11/17) Data: 0.003s | Batch: 1.380s | Total: 0:00:15 | ETA: 0:00:10 | Loss_pi: 5.7568 | Loss_v: 128.082
Training Net (12/17) Data: 0.003s | Batch: 1.379s | Total: 0:00:16 | ETA: 0:00:09 | Loss_pi: 5.7519 | Loss_v: 128.167
Training Net (13/17) Data: 0.003s | Batch: 1.383s | Total: 0:00:17 | ETA: 0:00:07 | Loss_pi: 5.7479 | Loss_v: 128.209
Training Net (14/17) Data: 0.003s | Batch: 1.378s | Total: 0:00:19 | ETA: 0:00:06 | Loss_pi: 5.7447 | Loss_v: 128.168
Training Net (15/17) Data: 0.003s | Batch: 1.381s | Total: 0:00:20 | ETA: 0:00:05 | Loss_pi: 5.7434 | Loss_v: 128.146
Training Net (16/17) Data: 0.003s | Batch: 1.381s | Total: 0:00:22 | ETA: 0:00:03 | Loss_pi: 5.7427 | Loss_v: 128.117
Training Net (17/17) Data: 0.003s | Batch: 1.378s | Total: 0:00:23 | ETA: 0:00:02 | Loss_pi: 5.7393 | Loss_v: 128.142
EPOCH ::: 4
Training Net (1/17) Data: 0.002s | Batch: 1.431s | Total: 0:00:01 | ETA: 0:00:00 | Loss_pi: 5.6847 | Loss_v: 127.909
Training Net (2/17) Data: 0.003s | Batch: 1.370s | Total: 0:00:02 | ETA: 0:00:23 | Loss_pi: 5.6837 | Loss_v: 127.994
Training Net (3/17) Data: 0.003s | Batch: 1.375s | Total: 0:00:04 | ETA: 0:00:21 | Loss_pi: 5.6730 | Loss_v: 127.953
Training Net (4/17) Data: 0.003s | Batch: 1.395s | Total: 0:00:05 | ETA: 0:00:20 | Loss_pi: 5.6686 | Loss_v: 127.928
Training Net (5/17) Data: 0.003s | Batch: 1.376s | Total: 0:00:06 | ETA: 0:00:19 | Loss_pi: 5.6589 | Loss_v: 127.887
Training Net (6/17) Data: 0.003s | Batch: 1.382s | Total: 0:00:08 | ETA: 0:00:17 | Loss_pi: 5.6503 | Loss_v: 127.941
Training Net (7/17) Data: 0.003s | Batch: 1.381s | Total: 0:00:09 | ETA: 0:00:16 | Loss_pi: 5.6407 | Loss_v: 127.905
Training Net (8/17) Data: 0.003s | Batch: 1.376s | Total: 0:00:11 | ETA: 0:00:14 | Loss_pi: 5.6260 | Loss_v: 127.850
Training Net (9/17) Data: 0.003s | Batch: 1.381s | Total: 0:00:12 | ETA: 0:00:13 | Loss_pi: 5.6088 | Loss_v: 127.930
Training Net (10/17) Data: 0.003s | Batch: 1.376s | Total: 0:00:13 | ETA: 0:00:12 | Loss_pi: 5.5914 | Loss_v: 128.111
Training Net (11/17) Data: 0.003s | Batch: 1.376s | Total: 0:00:15 | ETA: 0:00:10 | Loss_pi: 5.5813 | Loss_v: 128.071
Training Net (12/17) Data: 0.003s | Batch: 1.380s | Total: 0:00:16 | ETA: 0:00:09 | Loss_pi: 5.5686 | Loss_v: 128.076
Training Net (13/17) Data: 0.003s | Batch: 1.375s | Total: 0:00:17 | ETA: 0:00:07 | Loss_pi: 5.5616 | Loss_v: 128.069
Training Net (14/17) Data: 0.003s | Batch: 1.379s | Total: 0:00:19 | ETA: 0:00:06 | Loss_pi: 5.5522 | Loss_v: 128.068
Training Net (15/17) Data: 0.003s | Batch: 1.378s | Total: 0:00:20 | ETA: 0:00:05 | Loss_pi: 5.5423 | Loss_v: 128.090
Training Net (16/17) Data: 0.003s | Batch: 1.375s | Total: 0:00:21 | ETA: 0:00:03 | Loss_pi: 5.5304 | Loss_v: 128.106
Training Net (17/17) Data: 0.003s | Batch: 1.379s | Total: 0:00:23 | ETA: 0:00:02 | Loss_pi: 5.5128 | Loss_v: 128.102
EPOCH ::: 5
Training Net (1/17) Data: 0.003s | Batch: 1.319s | Total: 0:00:01 | ETA: 0:00:00 | Loss_pi: 5.2170 | Loss_v: 128.037
Training Net (2/17) Data: 0.003s | Batch: 1.349s | Total: 0:00:02 | ETA: 0:00:22 | Loss_pi: 5.1630 | Loss_v: 128.130
Training Net (3/17) Data: 0.003s | Batch: 1.369s | Total: 0:00:04 | ETA: 0:00:21 | Loss_pi: 5.1402 | Loss_v: 128.058
Training Net (4/17) Data: 0.003s | Batch: 1.354s | Total: 0:00:05 | ETA: 0:00:20 | Loss_pi: 5.1269 | Loss_v: 128.289
Training Net (5/17) Data: 0.003s | Batch: 1.364s | Total: 0:00:06 | ETA: 0:00:18 | Loss_pi: 5.0696 | Loss_v: 128.579
Training Net (6/17) Data: 0.003s | Batch: 1.367s | Total: 0:00:08 | ETA: 0:00:17 | Loss_pi: 5.0360 | Loss_v: 128.526
Training Net (7/17) Data: 0.003s | Batch: 1.364s | Total: 0:00:09 | ETA: 0:00:16 | Loss_pi: 5.0127 | Loss_v: 128.464
Training Net (8/17) Data: 0.003s | Batch: 1.373s | Total: 0:00:10 | ETA: 0:00:14 | Loss_pi: 4.9913 | Loss_v: 128.472
Training Net (9/17) Data: 0.003s | Batch: 1.369s | Total: 0:00:12 | ETA: 0:00:13 | Loss_pi: 4.9669 | Loss_v: 128.375
Training Net (10/17) Data: 0.003s | Batch: 1.367s | Total: 0:00:13 | ETA: 0:00:11 | Loss_pi: 4.9436 | Loss_v: 128.495
Training Net (11/17) Data: 0.003s | Batch: 1.373s | Total: 0:00:15 | ETA: 0:00:10 | Loss_pi: 4.9181 | Loss_v: 128.430
Training Net (12/17) Data: 0.003s | Batch: 1.367s | Total: 0:00:16 | ETA: 0:00:09 | Loss_pi: 4.8941 | Loss_v: 128.389
Training Net (13/17) Data: 0.003s | Batch: 1.370s | Total: 0:00:17 | ETA: 0:00:07 | Loss_pi: 4.8578 | Loss_v: 128.366
Training Net (14/17) Data: 0.003s | Batch: 1.370s | Total: 0:00:19 | ETA: 0:00:06 | Loss_pi: 4.8446 | Loss_v: 128.352
Training Net (15/17) Data: 0.003s | Batch: 1.369s | Total: 0:00:20 | ETA: 0:00:05 | Loss_pi: 4.8155 | Loss_v: 128.277
Training Net (16/17) Data: 0.003s | Batch: 1.372s | Total: 0:00:21 | ETA: 0:00:03 | Loss_pi: 4.7924 | Loss_v: 128.248
Training Net (17/17) Data: 0.003s | Batch: 1.371s | Total: 0:00:23 | ETA: 0:00:02 | Loss_pi: 4.7662 | Loss_v: 128.377
EPOCH ::: 6
Training Net (1/17) Data: 0.002s | Batch: 1.354s | Total: 0:00:01 | ETA: 0:00:00 | Loss_pi: 4.4038 | Loss_v: 130.505
Training Net (2/17) Data: 0.003s | Batch: 1.397s | Total: 0:00:02 | ETA: 0:00:22 | Loss_pi: 4.3883 | Loss_v: 128.913
Training Net (3/17) Data: 0.003s | Batch: 1.370s | Total: 0:00:04 | ETA: 0:00:21 | Loss_pi: 4.3965 | Loss_v: 128.634
Training Net (4/17) Data: 0.003s | Batch: 1.379s | Total: 0:00:05 | ETA: 0:00:20 | Loss_pi: 4.4279 | Loss_v: 128.537
Training Net (5/17) Data: 0.003s | Batch: 1.380s | Total: 0:00:06 | ETA: 0:00:18 | Loss_pi: 4.4070 | Loss_v: 128.963
Training Net (6/17) Data: 0.003s | Batch: 1.371s | Total: 0:00:08 | ETA: 0:00:17 | Loss_pi: 4.4171 | Loss_v: 128.917
Training Net (7/17) Data: 0.003s | Batch: 1.380s | Total: 0:00:09 | ETA: 0:00:16 | Loss_pi: 4.4178 | Loss_v: 128.769
Training Net (8/17) Data: 0.003s | Batch: 1.375s | Total: 0:00:11 | ETA: 0:00:14 | Loss_pi: 4.4109 | Loss_v: 128.869
Training Net (9/17) Data: 0.003s | Batch: 1.372s | Total: 0:00:12 | ETA: 0:00:13 | Loss_pi: 4.4113 | Loss_v: 128.470
Training Net (10/17) Data: 0.003s | Batch: 1.377s | Total: 0:00:13 | ETA: 0:00:11 | Loss_pi: 4.4129 | Loss_v: 128.414
Training Net (11/17) Data: 0.003s | Batch: 1.371s | Total: 0:00:15 | ETA: 0:00:10 | Loss_pi: 4.4253 | Loss_v: 128.795
Training Net (12/17) Data: 0.003s | Batch: 1.377s | Total: 0:00:16 | ETA: 0:00:09 | Loss_pi: 4.4294 | Loss_v: 128.610
Training Net (13/17) Data: 0.003s | Batch: 1.373s | Total: 0:00:17 | ETA: 0:00:07 | Loss_pi: 4.4347 | Loss_v: 128.559
Training Net (14/17) Data: 0.003s | Batch: 1.373s | Total: 0:00:19 | ETA: 0:00:06 | Loss_pi: 4.4363 | Loss_v: 128.539
Training Net (15/17) Data: 0.003s | Batch: 1.378s | Total: 0:00:20 | ETA: 0:00:05 | Loss_pi: 4.4430 | Loss_v: 128.589
Training Net (16/17) Data: 0.003s | Batch: 1.375s | Total: 0:00:21 | ETA: 0:00:03 | Loss_pi: 4.4493 | Loss_v: 128.555
